watch_id,user_id,content_id,device,watch_date,minutes_watched,completed,rating
188,2349,715,Smart TV,2025-10-16,83,No,3
189,2904,81,Tablet,2026-03-30,68,No,3
190,260,387,Mobile,2025-12-25,97,Yes,2
191,4636,44,Smart TV,2026-07-13,76,No,5
192,4449,871,Mobile,2026-06-11,102,Yes,5
193,1970,554,Tablet,2026-02-26,89,No,3
194,3581,349,Laptop,2025-12-01,103,Yes,2
195,4800,634,Smart TV,2026-01-04,113,Yes,4
196,3192,94,Laptop,2026-03-20,144,Yes,3
197,4545,92,Mobile,2025-10-07,67,No,4
198,694,174,Smart TV,2026-06-29,88,No,4
199,2456,370,Smart TV,2026-06-03,86,No,3
200,3242,390,Tablet,2026-01-08,87,No,4
201,1646,408,Laptop,2026-05-09,92,Yes,4
202,3219,578,Smart TV,2026-04-24,96,Yes,4
203,2387,815,Tablet,2026-05-16,131,Yes,3
204,606,491,Tablet,2025-10-24,106,Yes,5
205,697,674,Smart TV,2025-11-03,57,No,4
206,2717,101,Smart TV,2025-12-01,111,Yes,5
207,3794,26,Mobile,2026-02-25,147,Yes,4
208,2811,534,Laptop,2025-10-05,95,Yes,4
209,943,664,Smart TV,2026-03-14,120,Yes,2
210,1900,191,Tablet,2025-12-24,187,Yes,5
211,1686,829,Mobile,2026-07-04,121,Yes,5
212,4324,626,Mobile,2026-02-10,107,Yes,5
213,4835,321,Smart TV,2026-05-06,104,Yes,5
214,4709,499,Smart TV,2026-03-12,151,Yes,4
215,79,835,Tablet,2026-06-13,103,Yes,5
216,253,282,Laptop,2026-03-25,125,Yes,2
217,4692,557,Mobile,2025-11-14,69,No,4
218,2028,34,Laptop,2026-01-22,80,No,5
219,1720,625,Smart TV,2025-12-08,75,No,5
220,2303,721,Laptop,2025-12-19,86,No,4
221,3372,888,Smart TV,2026-06-13,192,Yes,3
222,1165,385,Mobile,2026-06-16,47,No,4
223,3024,336,Mobile,2026-01-22,152,Yes,5
224,3259,845,Tablet,2026-05-28,77,No,5
225,2816,642,Mobile,2025-09-05,123,Yes,5
226,1081,898,Mobile,2025-08-29,106,Yes,3
227,2503,94,Mobile,2026-02-07,86,No,2
228,2815,433,Tablet,2025-11-29,108,Yes,1
229,2452,833,Smart TV,2026-05-06,70,No,4
230,1241,454,Mobile,2025-11-24,98,Yes,5
231,1146,87,Laptop,2025-11-26,95,Yes,4
232,3210,803,Tablet,2025-10-26,114,Yes,4
233,2593,860,Laptop,2026-07-08,85,No,5
234,113,62,Laptop,2026-03-19,71,No,4
235,1251,81,Smart TV,2025-11-01,152,Yes,4
236,2541,867,Mobile,2026-03-08,97,Yes,4
237,1439,141,Smart TV,2026-06-06,84,No,4
238,1040,121,Laptop,2025-11-21,88,No,3
239,3729,880,Laptop,2025-12-31,71,No,2
240,4169,884,Smart TV,2026-06-13,156,Yes,3
241,3436,427,Laptop,2025-12-22,69,No,2
242,4226,71,Laptop,2025-11-25,82,No,3
243,2490,606,Smart TV,2025-08-28,120,Yes,4
244,2838,2,Laptop,2025-11-26,102,Yes,3
245,763,866,Laptop,2025-10-17,60,No,5
246,614,134,Laptop,2026-06-25,126,Yes,5
247,1914,140,Smart TV,2025-07-28,123,Yes,4
248,1701,272,Mobile,2026-03-16,71,No,5
249,2686,255,Tablet,2026-03-18,179,Yes,3
250,3705,105,Mobile,2025-08-17,93,Yes,5
251,689,77,Mobile,2026-06-05,59,No,5
252,2717,473,Smart TV,2026-07-14,103,Yes,5
253,2900,282,Tablet,2026-02-08,127,Yes,4
254,4512,287,Smart TV,2025-08-23,160,Yes,4
255,3134,801,Laptop,2026-06-11,54,No,5
256,2302,484,Smart TV,2026-03-12,75,No,3
257,459,817,Laptop,2026-05-05,166,Yes,5
258,232,578,Smart TV,2025-12-29,117,Yes,5
259,164,629,Smart TV,2025-11-20,93,Yes,4
260,909,383,Mobile,2026-01-21,100,Yes,5
261,3992,576,Smart TV,2026-07-25,111,Yes,5
262,15,790,Smart TV,2025-08-24,133,Yes,3
263,638,328,Mobile,2026-03-23,53,No,3
264,556,111,Mobile,2025-10-26,89,No,3
265,2878,491,Smart TV,2026-06-16,79,No,5
266,1394,77,Laptop,2025-12-28,85,No,2
267,3557,340,Smart TV,2026-04-11,142,Yes,3
268,1946,586,Smart TV,2025-10-06,99,Yes,3
269,1636,175,Mobile,2025-09-28,76,No,4
270,4458,391,Smart TV,2026-04-03,112,Yes,3
271,1239,353,Smart TV,2026-05-05,138,Yes,4
272,3890,81,Mobile,2026-02-15,81,No,5
273,3679,172,Smart TV,2025-08-08,164,Yes,3
274,4875,745,Mobile,2026-05-29,110,Yes,4
275,102,154,Mobile,2026-03-15,90,Yes,5
276,2164,586,Mobile,2026-07-23,94,Yes,5
277,2716,487,Laptop,2025-12-13,139,Yes,2
278,805,762,Laptop,2026-06-07,72,No,5
279,3336,889,Mobile,2025-11-17,86,No,5
280,4295,897,Mobile,2025-11-29,125,Yes,5
281,3803,127,Smart TV,2026-04-30,137,Yes,4
282,2821,265,Laptop,2026-03-23,98,Yes,4
283,1845,420,Mobile,2026-06-01,116,Yes,5
284,2503,386,Tablet,2026-05-04,60,No,3
285,61,609,Laptop,2026-04-23,127,Yes,4
286,2140,530,Mobile,2026-02-10,70,No,5
287,2422,415,Mobile,2026-06-07,131,Yes,4
288,4380,688,Laptop,2026-01-10,121,Yes,3
289,4580,344,Smart TV,2025-11-15,90,Yes,5
290,2409,482,Mobile,2026-06-08,72,No,3
291,443,206,Tablet,2025-10-15,129,Yes,3
292,3995,182,Mobile,2025-12-22,75,No,5
293,722,649,Tablet,2025-08-04,73,No,3
294,116,544,Mobile,2026-05-21,156,Yes,4
295,842,314,Mobile,2025-12-07,143,Yes,4
296,1097,502,Smart TV,2025-09-01,117,Yes,4
297,180,729,Tablet,2026-03-15,127,Yes,3
298,162,427,Tablet,2026-04-16,142,Yes,5
299,2467,679,Smart TV,2026-07-15,126,Yes,4
300,871,205,Smart TV,2025-10-17,150,Yes,3
301,3938,14,Mobile,2026-04-30,114,Yes,5
302,830,468,Laptop,2026-02-05,73,No,5
303,2562,98,Mobile,2025-11-08,99,Yes,5
304,762,188,Tablet,2025-09-06,97,Yes,3
305,1367,744,Smart TV,2026-02-03,134,Yes,5
306,3111,884,Tablet,2026-07-03,137,Yes,3
307,4300,686,Mobile,2026-03-12,110,Yes,4
308,4574,161,Tablet,2025-08-23,120,Yes,4
309,1825,241,Tablet,2026-01-07,120,Yes,2
310,4075,423,Mobile,2025-08-30,105,Yes,3
311,3738,56,Tablet,2026-03-14,80,No,3
312,935,228,Laptop,2026-06-12,162,Yes,5
313,1345,735,Mobile,2025-11-15,126,Yes,2
314,1562,425,Mobile,2026-05-17,101,Yes,4
315,398,495,Smart TV,2025-08-04,111,Yes,1
316,3152,710,Laptop,2026-03-14,135,Yes,4
317,4197,561,Smart TV,2025-08-12,98,Yes,4
318,1457,780,Tablet,2026-07-24,103,Yes,3
319,3461,26,Smart TV,2025-12-03,143,Yes,4
320,1200,303,Mobile,2026-06-04,82,No,5
321,4598,804,Mobile,2025-11-21,137,Yes,5
322,1664,649,Smart TV,2025-11-03,149,Yes,5
323,1424,439,Laptop,2026-02-18,68,No,3
324,2643,641,Tablet,2025-08-14,151,Yes,2
325,4265,164,Tablet,2025-08-23,89,No,5
326,4346,844,Mobile,2026-01-06,85,No,3
327,327,816,Tablet,2026-01-14,163,Yes,3
328,4168,304,Laptop,2026-01-08,154,Yes,4
329,537,793,Tablet,2025-10-12,97,Yes,4
330,591,735,Mobile,2025-09-09,150,Yes,4
331,2119,646,Tablet,2026-06-18,134,Yes,5
332,4798,75,Mobile,2026-01-05,67,No,4
333,253,226,Tablet,2026-07-11,111,Yes,4
334,3057,569,Mobile,2026-03-12,118,Yes,5
335,2817,662,Smart TV,2026-04-07,159,Yes,4
336,446,75,Mobile,2025-08-15,82,No,4
337,1922,72,Laptop,2025-09-28,68,No,3
338,2986,173,Laptop,2026-07-26,126,Yes,4
339,2717,368,Tablet,2026-05-19,118,Yes,4
340,4413,642,Mobile,2025-10-16,73,No,5
341,1743,557,Smart TV,2026-05-05,114,Yes,5
342,742,11,Smart TV,2026-02-10,114,Yes,4
343,1198,42,Tablet,2026-01-25,89,No,5
344,2960,466,Mobile,2025-08-14,122,Yes,5
345,2158,388,Mobile,2025-08-24,123,Yes,5
346,3950,143,Smart TV,2025-12-01,114,Yes,4
347,970,339,Tablet,2025-11-13,56,No,4
348,354,165,Mobile,2026-07-27,99,Yes,1
349,4618,746,Mobile,2026-04-14,70,No,4
350,1170,524,Smart TV,2025-08-11,80,No,4
351,890,881,Smart TV,2025-11-20,91,Yes,4
352,963,134,Tablet,2026-06-03,171,Yes,4
353,3124,760,Tablet,2025-11-07,127,Yes,4
354,3348,727,Mobile,2025-08-28,81,No,5
355,1268,260,Tablet,2026-05-30,84,No,4
356,4568,573,Laptop,2026-03-23,89,No,4
357,1883,166,Smart TV,2025-08-24,84,No,5
358,1317,6,Smart TV,2026-03-21,127,Yes,5
359,310,411,Mobile,2026-07-02,116,Yes,2
360,1596,523,Smart TV,2026-05-24,68,No,4
361,3273,416,Mobile,2025-08-07,95,Yes,5
362,2852,284,Smart TV,2025-08-05,173,Yes,5
363,593,120,Laptop,2026-04-10,82,No,3
364,3759,883,Tablet,2025-09-02,93,Yes,4
365,2587,529,Laptop,2026-04-26,98,Yes,5
366,1463,224,Smart TV,2026-01-15,76,No,4
367,2175,855,Laptop,2025-12-03,89,No,3
368,55,381,Tablet,2026-07-07,135,Yes,4
369,1820,819,Tablet,2025-09-19,86,No,3
370,987,9,Smart TV,2025-10-13,115,Yes,4
371,1943,628,Laptop,2025-11-14,85,No,4
372,2291,135,Mobile,2026-01-17,94,Yes,5
373,1226,181,Tablet,2025-09-02,114,Yes,3
374,2056,708,Mobile,2026-01-12,158,Yes,4
375,2958,830,Laptop,2026-07-21,128,Yes,4
376,4411,292,Laptop,2025-10-30,69,No,4
377,1187,346,Tablet,2026-07-13,102,Yes,3
378,4960,456,Tablet,2026-01-09,113,Yes,5
379,656,106,Mobile,2025-08-08,153,Yes,5
380,1273,400,Smart TV,2025-08-11,114,Yes,3
381,288,334,Tablet,2026-03-07,68,No,3
382,4841,652,Laptop,2025-09-06,73,No,4
383,1276,536,Laptop,2025-11-10,67,No,4
384,75,612,Mobile,2026-01-07,99,Yes,4
385,3193,82,Smart TV,2025-08-08,94,Yes,3
386,4358,874,Smart TV,2026-02-19,138,Yes,4
387,1539,51,Smart TV,2025-11-02,116,Yes,4
388,121,431,Tablet,2026-06-26,181,Yes,2
389,3215,186,Laptop,2026-06-19,104,Yes,2
390,3629,35,Tablet,2025-09-22,120,Yes,5
391,2557,746,Mobile,2026-06-10,92,Yes,5
392,926,333,Smart TV,2026-06-28,94,Yes,5
393,3894,92,Smart TV,2026-01-24,58,No,4
394,490,719,Smart TV,2026-07-23,121,Yes,4
395,1581,367,Laptop,2025-09-01,108,Yes,5
396,1529,480,Smart TV,2025-11-01,123,Yes,3
397,4145,20,Smart TV,2026-01-07,75,No,4
398,4076,331,Laptop,2026-06-12,112,Yes,4
399,257,197,Mobile,2026-06-25,82,No,3
400,403,736,Mobile,2026-06-08,165,Yes,4
401,3408,60,Mobile,2025-09-29,95,Yes,4
402,1893,539,Smart TV,2026-02-20,98,Yes,2
403,3758,171,Tablet,2025-09-23,85,No,4
404,4507,423,Laptop,2026-01-03,136,Yes,5
405,3707,1,Laptop,2026-05-31,75,No,3
406,1760,842,Smart TV,2025-11-29,122,Yes,5
407,2100,410,Mobile,2025-08-12,88,No,3
408,782,828,Mobile,2026-01-29,82,No,5
409,988,870,Tablet,2025-10-05,87,No,5
410,1809,750,Tablet,2026-03-05,147,Yes,4
411,2754,764,Tablet,2025-11-09,124,Yes,3
412,4582,668,Smart TV,2026-01-26,106,Yes,3
413,3389,196,Laptop,2025-08-29,54,No,3
414,3623,838,Smart TV,2025-12-30,135,Yes,5
415,1210,711,Laptop,2025-10-23,91,Yes,3
416,2119,145,Tablet,2026-02-01,116,Yes,4
417,2223,9,Tablet,2026-01-10,116,Yes,3
418,3167,521,Laptop,2025-08-08,87,No,5
419,177,543,Laptop,2025-11-09,108,Yes,4
420,1935,641,Tablet,2025-12-06,136,Yes,4
421,720,695,Tablet,2025-11-15,151,Yes,5
422,1080,595,Smart TV,2025-09-27,120,Yes,4
423,4628,571,Smart TV,2026-07-10,105,Yes,3
424,2486,842,Smart TV,2025-10-02,104,Yes,5
425,4646,237,Laptop,2025-12-26,97,Yes,3
426,3064,504,Smart TV,2026-01-07,112,Yes,5
427,1824,68,Tablet,2026-01-11,65,No,5
428,343,404,Mobile,2026-06-04,98,Yes,4
429,322,646,Smart TV,2026-03-09,131,Yes,4
430,447,662,Mobile,2026-04-12,74,No,4
431,3221,26,Tablet,2026-01-19,61,No,4
432,1344,724,Laptop,2026-06-24,44,No,5
433,3103,175,Smart TV,2025-08-29,79,No,5
434,3656,121,Smart TV,2026-04-12,99,Yes,4
435,48,603,Tablet,2026-05-24,140,Yes,4
436,4568,152,Laptop,2026-06-26,111,Yes,3
437,719,183,Laptop,2026-04-14,117,Yes,4
438,4743,96,Laptop,2025-10-19,57,No,5
439,1103,282,Tablet,2025-12-16,50,No,3
440,4334,706,Tablet,2025-11-11,83,No,5
441,4610,648,Tablet,2026-05-16,92,Yes,5
442,3809,213,Tablet,2025-10-01,84,No,3
443,2308,316,Laptop,2026-05-29,68,No,3
444,1439,347,Tablet,2026-03-29,132,Yes,5
445,2746,424,Laptop,2026-07-16,83,No,4
446,2897,288,Laptop,2025-10-14,98,Yes,5
447,2526,279,Mobile,2026-06-06,117,Yes,3
448,1434,39,Mobile,2026-06-09,66,No,4
449,4290,147,Smart TV,2026-07-10,74,No,5
450,361,48,Laptop,2025-10-29,63,No,1
451,2267,688,Laptop,2026-02-10,108,Yes,3
452,4445,278,Laptop,2026-06-08,158,Yes,3
453,1066,692,Mobile,2026-05-03,65,No,4
454,3653,838,Mobile,2026-06-09,147,Yes,4
455,2543,230,Laptop,2026-02-02,74,No,2
456,3714,487,Laptop,2026-04-06,94,Yes,5
457,844,816,Laptop,2026-03-15,107,Yes,3
458,1997,394,Laptop,2026-06-25,89,No,3
459,4461,686,Tablet,2026-03-27,73,No,5
460,3325,702,Laptop,2026-04-05,61,No,3
461,2,464,Tablet,2026-03-25,124,Yes,5
462,2495,353,Mobile,2025-11-26,85,No,4
463,4497,574,Mobile,2026-01-16,71,No,4
464,3136,559,Smart TV,2025-08-24,140,Yes,4
465,2364,74,Smart TV,2026-04-12,82,No,4
466,3407,713,Smart TV,2025-08-23,80,No,3
467,4953,868,Laptop,2026-06-18,122,Yes,3
468,3020,708,Smart TV,2025-12-04,100,Yes,4
469,3871,553,Mobile,2026-01-13,74,No,2
470,2716,818,Laptop,2025-08-01,120,Yes,4
471,3877,673,Mobile,2026-04-28,128,Yes,3
472,2302,15,Smart TV,2026-02-13,38,No,3
473,1935,541,Laptop,2025-09-24,54,No,5
474,3383,451,Smart TV,2025-11-11,112,Yes,5
475,1373,309,Smart TV,2026-02-19,142,Yes,3
476,2366,324,Mobile,2025-10-05,80,No,4
477,2188,599,Tablet,2026-02-28,149,Yes,4
478,1474,689,Mobile,2025-08-13,91,Yes,4
479,2064,635,Mobile,2025-11-25,171,Yes,5
480,708,783,Mobile,2026-06-16,162,Yes,5
481,2265,684,Laptop,2025-10-04,82,No,4
482,2116,72,Smart TV,2025-08-02,90,Yes,5
483,871,106,Mobile,2025-08-07,52,No,4
484,8,273,Laptop,2026-02-13,89,No,3
485,575,706,Mobile,2026-03-27,69,No,4
486,743,349,Tablet,2025-09-03,81,No,4
487,3196,368,Mobile,2026-02-14,72,No,3
488,1954,812,Tablet,2025-11-24,63,No,5
489,351,827,Smart TV,2026-06-10,118,Yes,2
490,376,134,Smart TV,2026-03-22,102,Yes,1
491,4842,109,Tablet,2025-08-20,84,No,3
492,3294,701,Laptop,2025-12-23,139,Yes,5
493,3401,567,Tablet,2026-06-18,86,No,3
494,1293,83,Mobile,2026-01-30,67,No,4
495,3900,656,Tablet,2025-11-06,115,Yes,5
496,722,5,Smart TV,2025-08-09,95,Yes,5
497,3803,199,Smart TV,2026-03-28,64,No,4
498,2984,258,Tablet,2026-07-15,81,No,2
499,4219,241,Laptop,2026-05-20,67,No,1
500,804,891,Tablet,2026-05-22,82,No,4
501,4993,383,Tablet,2026-04-23,103,Yes,3
502,4659,114,Tablet,2026-02-07,148,Yes,2
503,1393,878,Smart TV,2025-10-13,82,No,5
504,2031,228,Mobile,2025-08-31,149,Yes,5
505,4351,818,Tablet,2025-09-25,118,Yes,2
506,1088,664,Mobile,2025-12-29,122,Yes,5
507,3727,896,Smart TV,2026-07-08,73,No,4
508,2728,771,Smart TV,2026-06-26,67,No,4
509,423,477,Laptop,2025-09-22,85,No,4
510,2744,665,Smart TV,2025-09-03,114,Yes,3
511,447,464,Mobile,2025-10-23,115,Yes,4
512,538,469,Mobile,2025-08-15,83,No,4
513,1213,210,Laptop,2026-04-24,80,No,3
514,176,23,Laptop,2025-08-27,91,Yes,4
515,4344,581,Laptop,2025-11-10,98,Yes,5
516,1216,171,Laptop,2026-01-11,100,Yes,5
517,958,589,Tablet,2025-09-09,147,Yes,3
518,1212,167,Mobile,2026-07-10,65,No,5
519,4475,303,Laptop,2025-12-31,86,No,3
520,3924,565,Laptop,2026-04-26,100,Yes,5
521,1599,786,Smart TV,2026-05-09,51,No,4
522,4018,524,Laptop,2025-11-03,95,Yes,4
523,2524,90,Tablet,2026-03-27,96,Yes,4
524,3394,613,Smart TV,2025-07-31,96,Yes,5
525,725,280,Smart TV,2025-12-05,69,No,5
526,2372,847,Laptop,2025-09-16,48,No,5
527,3872,295,Smart TV,2025-09-12,52,No,3
528,547,580,Laptop,2025-12-03,85,No,4
529,2127,150,Tablet,2026-05-16,115,Yes,4
